TargetID,Position,name,chrom,strand,cdsStart,cdsEnd,cdsStartStat,cdsEndStat
cg00063654,16413077,ENST00000432519,chr3,-,16358334,16524289,cmpl,cmpl
cg00063654,16413077,ENST00000334133,chr3,-,16358334,16535376,cmpl,cmpl
cg00365507,68028125,ENST00000393847,chr16,-,68021408,68027115,cmpl,cmpl
cg00365507,68028125,ENST00000412757,chr16,-,68021408,68027115,cmpl,cmpl
cg00365507,68028125,ENST00000575203,chr16,-,68024797,68027115,cmpl,cmpl
cg00365507,68028125,ENST00000571081,chr16,+,68071926,68088479,incmpl,incmpl
cg00365507,68028125,ENST00000570709,chr16,+,68071926,68094971,incmpl,incmpl
cg00365507,68028125,ENST00000575510,chr16,-,68023951,68034388,incmpl,incmpl
cg00365507,68028125,ENST00000573808,chr16,-,68024800,68033319,incmpl,incmpl
cg00365507,68028125,ENST00000268795,chr16,-,68034484,68034484,none,none
cg00365507,68028125,ENST00000572624,chr16,-,68026075,68027115,incmpl,incmpl
cg00365507,68028125,ENST00000574865,chr16,-,68026459,68027115,incmpl,incmpl
cg00365507,68028125,ENST00000574316,chr16,-,68034471,68034471,none,none
cg11955727,84105546,ENST00000431592,chr2,-,84105677,84105677,none,none
cg02987832,35761633,ENST00000557565,chr14,+,35592451,35742772,cmpl,cmpl
cg02987832,35761633,ENST00000540871,chr14,+,35747905,35786512,cmpl,cmpl
cg02987832,35761633,ENST00000554541,chr14,+,35761682,35778169,cmpl,cmpl
cg02987832,35761633,ENST00000261479,chr14,+,35761682,35786512,cmpl,cmpl
cg02987832,35761633,ENST00000554843,chr14,+,35780258,35780258,none,none
cg02987832,35761633,ENST00000554961,chr14,+,35761682,35783604,cmpl,cmpl
cg02987832,35761633,ENST00000554620,chr14,+,35761682,35779493,cmpl,cmpl
cg02987832,35761633,ENST00000556167,chr14,+,35777642,35777642,none,none
cg02987832,35761633,ENST00000553809,chr14,+,35761682,35786512,cmpl,cmpl
cg10661558,15443159,ENST00000432621,chr21,+,15516789,15516789,none,none
cg10661558,15443159,ENST00000428809,chr21,+,15516789,15516789,none,none
cg10661558,15443159,ENST00000448463,chr21,+,15461367,15461367,none,none
cg16218221,208576609,ENST00000392209,chr2,+,208576830,208618422,cmpl,cmpl
cg16218221,208576609,ENST00000420822,chr2,+,208576620,208579151,cmpl,cmpl
cg16218221,208576609,ENST00000295414,chr2,+,208576620,208618422,cmpl,cmpl
cg16218221,208576609,ENST00000339882,chr2,+,208576620,208618422,cmpl,cmpl
cg04462931,64300061,,,,,,,
cg15228509,243074717,,,,,,,
cg12949927,64298676,,,,,,,
cg00151744,85891516,,,,,,,
cg19672271,103940878,ENST00000296422,chr4,-,103822273,103912868,cmpl,cmpl
cg20891225,57994481,ENST00000357272,chr3,+,57994291,58139117,cmpl,cmpl
cg20891225,57994481,ENST00000348383,chr3,+,57994291,58156489,cmpl,cmpl
cg20891225,57994481,ENST00000429972,chr3,+,57994291,58156489,cmpl,cmpl
cg20891225,57994481,ENST00000358537,chr3,+,57994291,58156489,cmpl,cmpl
cg20891225,57994481,ENST00000295956,chr3,+,57994291,58156489,cmpl,cmpl
cg20891225,57994481,ENST00000490882,chr3,+,57994291,58156489,cmpl,cmpl
cg12052203,66115045,ENST00000311181,chr11,-,66113519,66115016,cmpl,cmpl
cg13149459,202425679,ENST00000608999,chr1,+,202317979,202549688,cmpl,cmpl
cg13149459,202425679,ENST00000336894,chr1,+,202317979,202549688,cmpl,cmpl
cg13149459,202425679,ENST00000498070,chr1,+,202472037,202472037,none,none
cg06513015,64459246,ENST00000487644,chr7,-,64467062,64467062,none,none
cg06513015,64459246,ENST00000394323,chr7,-,64451589,64453404,cmpl,cmpl
cg00804338,114239234,ENST00000538138,chr13,+,114277578,114294582,cmpl,cmpl
cg00804338,114239234,ENST00000475254,chr13,+,114287600,114287600,none,none
cg00804338,114239234,ENST00000464794,chr13,+,114240498,114240498,none,none
cg00804338,114239234,ENST00000375370,chr13,+,114240152,114294582,cmpl,cmpl
cg00804338,114239234,ENST00000465174,chr13,+,114288314,114288314,none,none
cg22266749,110223959,,,,,,,
cg12385553,17256079,,,,,,,
cg01966510,85075427,ENST00000354771,chr15,-,85113931,85113931,none,none
cg01966510,85075427,ENST00000339094,chr15,-,85114026,85114026,none,none
cg01966510,85075427,ENST00000559958,chr15,-,85085460,85085460,none,none
cg07004386,70040391,,,,,,,
cg00500229,243054071,,,,,,,
cg13150977,85114131,ENST00000559871,chr15,-,85114447,85114447,none,none
cg13150977,85114131,ENST00000560917,chr15,+,85116485,85116485,none,none
