Probe_ID,CHR,MAPINFO,UCSC_REFGENE_NAME,UCSC_REFGENE_ACCESSION,UCSC_REFGENE_GROUP,UCSC_CPG_ISLANDS_NAME,RELATION_TO_UCSC_CPG_ISLAND
cg00063654,3,16413077,RFTN1,NM_015150,Body,,
cg00365507,16,68028125,DPEP2,NM_022355,5'UTR,chr16:68027074-68027396,S_Shore
cg11955727,2,84105546,,,,,
cg02987832,14,35761633,PSMA6;PSMA6,NM_002791;NM_002791,1stExon;5'UTR,chr14:35761400-35761854,Island
cg10661558,21,15443159,,,,chr21:15442956-15443160,Island
cg16218221,2,208576609,CCNYL1;CCNYL1;CCNYL1,NM_001142300;NM_001142300;NM_152523,1stExon;5'UTR;5'UTR,chr2:208576001-208577106,Island
cg04462931,7,64300061,,,,,
cg15228509,1,243074717,,,,,
cg12949927,7,64298676,,,,,
cg00151744,15,85891516,,,,,
cg19672271,4,103940878,NHEDC1;NHEDC1,NM_001100874;NM_139173,TSS200;TSS200,chr4:103940668-103940951,Island
cg20891225,3,57994481,FLNB;FLNB;FLNB;FLNB,NM_001164319;NM_001164317;NM_001164318;NM_001457,1stExon;1stExon;1stExon;1stExon,chr3:57993838-57994704,Island
cg12052203,11,66115045,B3GNT1;B3GNT1,NM_006876;NM_006876,1stExon;5'UTR,chr11:66114497-66115525,Island
cg13149459,1,202425679,PPP1R12B,NM_002481,Body,,
cg06513015,7,64459246,ERV3-1,NM_001007253,5'UTR,,
cg00804338,13,114239234,TFDP1;TFDP1,NM_007111;NR_026580,5'UTR;Body,,
cg22266749,4,110223959,COL25A1;COL25A1,NM_032518;NM_198721,TSS200;TSS200,chr4:110222970-110224257,Island
cg12385553,22,17256079,,,,,
cg01966510,15,85075427,UBE2Q2P1,NR_003661,Body,,
cg07004386,14,70040391,,,,chr14:70041213-70041662,N_Shore
cg00500229,1,243054071,,,,chr1:243053597-243054072,Island
cg13150977,15,85114131,UBE2QP1,NR_003661,TSS200,chr15:85113435-85114361,Island
